component,route,plan_score,plan_verdict,plan_layer,plan_role,plan_parent,plan_tier,my_value,my_built,my_disposition,my_hub,defective,flags,plan_enhance,my_upgrade
ShortTermRentalStrategy,/portal/short-term-rental,5.9,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.3,1.7,UPGRADE or fold into library,Real Estate Intelligence,False,,To 7.2: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
StructuredNoteAnalyzer,/portal/structured-notes,5.9,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.6,2.2,UPGRADE or fold into library,Cross-Cutting Reference Library,False,fabricated-constant,To 7.2: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
StructuredSettlementPlanner,/portal/structured-settlement,5.9,ENHANCE,L2 — Advanced,TOGGLE,ExistingAnnuities,Supporting Planning,1.8,2.2,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 7.2: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
SurvivorBenefitPlanner,/portal/survivor-benefits,5.9,ENHANCE,L2 — Advanced,TOGGLE,SocialSecurityBridge,Supporting Planning,1.7,2.1,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 7.2: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
TenantInCommonAnalyzer,/portal/tenant-in-common,5.9,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,2.5,UPGRADE or fold into library,Real Estate Intelligence,False,fabricated-constant|literal-chart-data,To 7.2: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
TimeLapse,/portal/time-lapse,5.9,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.4,1.8,UPGRADE or fold into library,IUL & Policy Engineering,False,,To 7.2: add a market-vs-IUL outcome chart. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
WealthErosionTracker,/portal/wealth-erosion,5.9,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.0,1.4,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 7.2: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
MegaBackdoorRoth,,5.9,MERGE,Merge,TOGGLE,RothConversionSTR,Tax / Income Lever,0.5,1.4,UPGRADE or fold into library,Tax Strategy,True,frozen-chart|fabricated-constant,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
TaxLossHarvestingEngine,,5.9,MERGE,Merge,TOGGLE,TaxLossHarvestingScanner,Tax / Income Lever,1.4,1.8,UPGRADE or fold into library,Tax Strategy,False,,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
ILITDeepDive,/portal/ilit-deep-dive,5.8,MERGE,Merge,TOGGLE,ILITCalculator,Estate / Legacy,0.6,1.0,UPGRADE or fold into library,"Estate, Trust & Legacy",False,,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
AutoPilotWorkflow,/portal/autopilot,5.8,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,0.7,UPGRADE or fold into library,Advisor Practice & Sales Enablement,False,,To 7.1: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
RevenueGuarantee,/portal/revenue-guarantee,5.8,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.2,1.6,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 7.1: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
RiskToleranceProfiler,,5.8,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,1.7,UPGRADE or fold into library,"Discovery, Calibration & Onboarding",False,literal-chart-data,To 7.1: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
MortgageKillerV3,/portal/mortgage-killer-v3,5.7,MERGE,Merge,TOGGLE,MortgageKiller,Supporting Planning,4.5,5.0,MERGE into canonical version,Mortgage & Debt Elimination,False,,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
CharitableLeadTrust,/portal/charitable-lead-trust,5.6,MERGE,Merge,TOGGLE,CharitableLeadTrustEngine,Estate / Legacy,0.5,2.1,UPGRADE or fold into library,Tax Strategy,False,fabricated-constant,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
CharitableLeadTrustPlanner,,5.6,MERGE,Merge,TOGGLE,CharitableLeadTrustEngine,Estate / Legacy,1.8,2.2,UPGRADE or fold into library,Tax Strategy,False,,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
DynastyTrustArchitect,/portal/dynasty-trust,5.6,MERGE,Merge,TOGGLE,MultiGenWealthTransfer,Estate / Legacy,1.4,1.8,UPGRADE or fold into library,"Estate, Trust & Legacy",False,,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
EstateLiquidityPlanner,,5.6,MERGE,Merge,TOGGLE,EstateTax,Estate / Legacy,0.9,2.5,UPGRADE or fold into library,"Estate, Trust & Legacy",False,fabricated-constant,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
GRATPlanner,/portal/grat,5.6,MERGE,Merge,TOGGLE,GRATCalculator,Estate / Legacy,1.4,1.8,UPGRADE or fold into library,"Estate, Trust & Legacy",False,,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
QPRTPlanner,/portal/qprt,5.6,MERGE,Merge,TOGGLE,QPRTCalculator,Estate / Legacy,0.5,2.9,UPGRADE or fold into library,Cross-Cutting Reference Library,False,fabricated-constant|literal-chart-data,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
SLATPlanner,/portal/slat-planner,5.6,MERGE,Merge,TOGGLE,SLATDeepDive,Estate / Legacy,0.9,1.3,UPGRADE or fold into library,"Estate, Trust & Legacy",False,,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
AdminHealthDashboard,/portal/admin/health,5.6,ENHANCE,L2 — Advanced,STANDALONE,—,Platform / Admin,4.0,4.4,EMBED — reference card,"Admin, Ops & System",False,,To 6.9: add a discovery question to open the conversation. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; widen inputs to a full scenario (assumptions, ranges, alternatives)"
AIBrainHubPage,/portal/ai-brain-hub,5.6,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,2.3,2.3,UPGRADE or fold into library,AI Brain & Intelligence,False,,To 6.9: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
EngineFusionLab,/portal/engine-fusion,5.6,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.8,2.2,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 6.9: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
MarketPulseSentinel,/portal/market-pulse,5.6,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,0.7,UPGRADE or fold into library,Investments & Portfolio,False,,To 6.9: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
OnboardingWizard,/portal/welcome,5.6,MERGE,Merge,STANDALONE,—,Supporting Planning,4.5,5.0,MERGE into canonical version,"Discovery, Calibration & Onboarding",False,,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
VideoLibrary,/portal/video-library,5.6,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,0.7,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 6.9: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
FIDOComplianceTracker,/portal/fiduciary-compliance,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Compliance / Reporting Ops,1.3,1.7,UPGRADE or fold into library,Compliance & Supervision,False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
FiduciaryDutyTracker,/portal/fiduciary-tracker,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Compliance / Reporting Ops,1.7,2.1,UPGRADE or fold into library,Compliance & Supervision,False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
OrganismHealthReport,/portal/organism-health,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Compliance / Reporting Ops,0.9,1.3,UPGRADE or fold into library,Reports & Deliverables,False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
DeepOrganismDashboard,/portal/deep-organism,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Dashboards / Internal,1.0,1.4,UPGRADE or fold into library,Reports & Deliverables,False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
FinancialNerveCenter,/portal/financial-nerve-center,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Dashboards / Internal,1.3,1.7,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
PhilanthropyImpactDashboard,/portal/philanthropy,5.5,ENHANCE,L2 — Advanced,TOGGLE,CharitableLeadTrustEngine,Dashboards / Internal,2.1,2.5,UPGRADE or fold into library,Reports & Deliverables,False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
WealthDashboardSummary,/portal/wealth-dashboard,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Dashboards / Internal,0.5,1.4,UPGRADE or fold into library,Reports & Deliverables,False,literal-chart-data,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
AdministratorPortal,/administrator,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Platform / Admin,5.5,5.5,EMBED — accordion section,"Admin, Ops & System",False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"add projection + sensitivity + comparison charts ; widen inputs to a full scenario (assumptions, ranges, alternatives)"
AIWealthConcierge,/portal/concierge,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,0.7,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
AssetProtection,/portal/asset-protection,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.0,1.4,UPGRADE or fold into library,"Risk, Divorce & Protection",False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
CarrierStrengthMonitor,/portal/carrier-strength,5.5,ENHANCE,L2 — Advanced,TOGGLE,IllustrationCompare,Supporting Planning,1.7,2.1,UPGRADE or fold into library,"Insurance, Annuity & Carrier",False,,To 6.8: add a market-vs-IUL outcome chart. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
ClientFinancialHealthScore,,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.0,1.4,UPGRADE or fold into library,Mortgage & Debt Elimination,False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
CostSegregationEngine,/portal/cost-segregation-engine,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.9,1.3,UPGRADE or fold into library,Tax Strategy,False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
FamilyGovernanceFramework,/portal/family-governance,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.4,1.8,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
FamilyLimitedPartnership,/portal/family-limited-partnership,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,1.7,UPGRADE or fold into library,Business & Succession,True,frozen-chart,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
FinancialPlanChecklist,/portal/financial-plan-checklist,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.4,1.8,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
Login,/login,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,3.7,3.7,EMBED — reference card,"Public, Marketing & Legal",False,,To 6.8: add a market-vs-IUL outcome chart. Then add the threat→pain→IUL-win→discovery arc.,"apply the CinematicEngine treatment (Ken Burns + breath-locked bloom) ; expand copy: proof, mechanism, outcome"
MedicaidPlanning,/portal/medicaid-planning,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.0,1.4,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
PrivateFoundationPlanner,/portal/private-foundation,5.5,ENHANCE,L2 — Advanced,TOGGLE,CharitableLeadTrustEngine,Supporting Planning,1.0,1.4,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
PrivateREITAnalyzer,/portal/private-reit,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.4,1.8,UPGRADE or fold into library,Real Estate Intelligence,False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
QualifiedOpportunityFund,/portal/qualified-opportunity-fund,5.5,ENHANCE,L2 — Advanced,TOGGLE,OpportunityZoneCalc,Supporting Planning,1.0,1.4,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
QualifiedPlanMaximizer,/portal/qualified-plan-maximizer,5.5,ENHANCE,L2 — Advanced,TOGGLE,CashBalancePlanCalc,Supporting Planning,0.5,1.7,UPGRADE or fold into library,Cross-Cutting Reference Library,False,fabricated-constant,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
ResetPassword,/reset-password,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,3.2,3.2,UPGRADE or fold into library,"Public, Marketing & Legal",False,,To 6.8: add a market-vs-IUL outcome chart. Then add the threat→pain→IUL-win→discovery arc.,"apply the CinematicEngine treatment (Ken Burns + breath-locked bloom) ; expand copy: proof, mechanism, outcome"
RussellNumber,/portal/russell-number,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,2.5,2.9,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 6.8: add a market-vs-IUL outcome chart. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
RussellWrapped,/portal/wrapped,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.9,2.3,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 6.8: add a market-vs-IUL outcome chart. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
SpousalLifetimeAccess,/portal/spousal-lifetime-access,5.5,ENHANCE,L2 — Advanced,TOGGLE,SLATDeepDive,Supporting Planning,1.0,1.4,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
StrategySynergyHub,/portal/strategy-synergy,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.9,2.3,UPGRADE or fold into library,Scenario Lab & Comparison,False,,To 6.8: add a market-vs-IUL outcome chart. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
StretchIRAStrategy,/portal/stretch-ira,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.3,1.7,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
VideoViewer,/video/:token,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,4.0,4.4,EMBED — reference card,"Public, Marketing & Legal",False,,To 6.8: add a market-vs-IUL outcome chart. Then add the threat→pain→IUL-win→discovery arc.,apply the CinematicEngine treatment (Ken Burns + breath-locked bloom)
WealthAccumulationTimeline,/portal/wealth-timeline,5.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.7,1.1,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
WealthTransferScoreboard,/portal/wealth-transfer-scoreboard,5.5,ENHANCE,L2 — Advanced,TOGGLE,MultiGenWealthTransfer,Supporting Planning,0.5,2.0,UPGRADE or fold into library,"Estate, Trust & Legacy",False,fabricated-constant|literal-chart-data,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
WealthTransferScorecard,/portal/wealth-transfer-scorecard,5.5,ENHANCE,L2 — Advanced,TOGGLE,MultiGenWealthTransfer,Supporting Planning,1.0,1.4,UPGRADE or fold into library,"Estate, Trust & Legacy",False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
WealthTransferTimeline,/portal/wealth-transfer-timeline,5.5,ENHANCE,L2 — Advanced,TOGGLE,MultiGenWealthTransfer,Supporting Planning,1.3,1.7,UPGRADE or fold into library,"Estate, Trust & Legacy",False,,To 6.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
MedicareIRMAAPlanner,,5.5,MERGE,Merge,TOGGLE,MedicareIRMAA,Tax / Income Lever,1.3,1.7,UPGRADE or fold into library,Tax Strategy,False,,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
NUAStrategy,/portal/nua-strategy,5.5,MERGE,Merge,STANDALONE,—,Tax / Income Lever,1.4,1.8,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
PensionMaximizationEngine,/portal/pension-max-engine,5.4,MERGE,Merge,TOGGLE,PensionVsLumpSumCalc,Guaranteed Income / Annuity,1.4,1.8,UPGRADE or fold into library,Retirement Income & Drawdown,False,,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
RetirementIncomeFloorPlanner,/portal/income-floor,5.4,MERGE,Merge,TOGGLE,RetirementIncomeProjection,Guaranteed Income / Annuity,0.5,2.9,UPGRADE or fold into library,Retirement Income & Drawdown,True,frozen-chart|fabricated-constant,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
SocialSecurityBridgeStrategy,/portal/ss-bridge-strategy,5.4,MERGE,Merge,TOGGLE,SocialSecurityBridge,Guaranteed Income / Annuity,1.4,1.8,UPGRADE or fold into library,Retirement Income & Drawdown,False,,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
ClientOnboardingWizard,/portal/client-onboarding,5.4,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.5,1.9,UPGRADE or fold into library,Mortgage & Debt Elimination,False,,To 6.7: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
MatchAndDeployPage,,5.4,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,3.9,3.9,EMBED — reference card,"Public, Marketing & Legal",False,,To 6.7: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,apply the CinematicEngine treatment (Ken Burns + breath-locked bloom)
PhysicianForum,/portal/physician-forum,5.4,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.7,1.1,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 6.7: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
SecretSecrets,/portal/secret-secrets,5.4,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.7,1.1,UPGRADE or fold into library,Education & Knowledge,False,,To 6.7: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
InsuranceCoverageCommand,/portal/insurance-coverage-command,5.1,ENHANCE,L2 — Advanced,STANDALONE,—,Insurance (other),0.5,0.7,UPGRADE or fold into library,"Insurance, Annuity & Carrier",False,,To 6.4: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
AdvisorMeetingPrep,/portal/meeting-prep,5.0,ENHANCE,L2 — Advanced,STANDALONE,—,Advisor Ops / Growth,1.0,1.4,UPGRADE or fold into library,Client Management & CRM,False,,To 6.3: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
UsageAnalyticsDashboard,/portal/usage-analytics,5.0,ENHANCE,L2 — Advanced,STANDALONE,—,Platform / Admin,2.1,2.5,UPGRADE or fold into library,Reports & Deliverables,False,,To 6.3: add a discovery question to open the conversation. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
ComprehensiveIRCReferenceIndex,/portal/irc-reference,5.0,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.8,1.2,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 6.3: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
